0,27,187
1,26,214
2,29,215
3,26,236
4,22,223
5,32,252
6,25,247
7,23,244
8,19,242
9,23,254
0,23,192
1,25,200
2,22,202
3,24,222
4,22,228
5,22,202
6,21,222
7,16,197
8,17,197
9,18,216
0,27,229
1,21,192
2,16,212
3,16,219
4,16,202
5,19,220
6,14,240
7,17,231
8,16,239
9,13,198
0,23,178
1,27,192
2,29,202
3,21,175
4,26,185
5,17,189
6,21,183
7,20,202
8,21,202
9,16,204
0,22,191
1,28,208
2,20,193
3,23,214
4,21,219
5,18,193
6,13,196
7,18,227
8,19,223
9,16,198
0,24,201
1,19,168
2,20,172
3,22,207
4,23,181
5,18,216
6,19,239
7,17,213
8,21,191
9,14,211
0,23,221
1,25,197
2,27,253
3,20,217
4,23,215
5,19,226
6,21,258
7,23,264
8,20,206
9,23,244
0,24,195
1,24,210
2,24,193
3,21,194
4,24,242
5,20,222
6,20,230
7,19,222
8,15,217
9,12,220
0,26,206
1,24,226
2,24,209
3,28,217
4,26,260
5,24,210
6,20,205
7,23,242
8,20,225
9,25,249
0,22,162
1,17,178
2,19,178
3,19,200
4,23,206
5,18,212
6,15,206
7,10,228
8,18,202
9,18,202
0,25,184
1,27,182
2,25,200
3,24,201
4,24,198
5,17,192
6,21,190
7,20,193
8,17,167
9,24,214
0,23,194
1,29,237
2,19,151
3,25,194
4,26,214
5,23,217
6,16,180
7,19,174
8,25,197
9,14,204
0,21,169
1,19,177
2,14,187
3,16,189
4,18,204
5,17,187
6,16,214
7,15,194
8,11,192
9,14,198
0,24,172
1,22,177
2,26,182
3,20,206
4,20,261
5,19,229
6,21,219
7,21,221
8,18,217
9,15,224
0,22,180
1,19,215
2,27,214
3,22,235
4,22,197
5,21,236
6,20,236
7,20,229
8,17,227
9,19,205
0,20,168
1,16,162
2,21,196
3,21,204
4,18,176
5,22,214
6,17,214
7,18,212
8,25,212
9,17,240
0,26,193
1,27,189
2,22,168
3,23,184
4,26,202
5,22,212
6,22,228
7,19,210
8,17,223
9,21,234
0,18,160
1,18,175
2,24,207
3,21,200
4,22,194
5,22,206
6,17,196
7,23,186
8,22,198
9,18,209
0,24,165
1,28,197
2,16,194
3,20,212
4,26,207
5,21,218
6,25,230
7,21,209
8,19,195
9,20,219
0,24,181
1,22,159
2,26,175
3,25,191
4,25,200
5,21,223
6,20,233
7,15,220
8,18,235
9,20,216
0,19,162
1,20,159
2,20,173
3,23,205
4,20,195
5,15,200
6,25,242
7,15,210
8,19,227
9,18,195
0,18,155
1,17,189
2,20,196
3,15,195
4,13,226
5,18,207
6,13,176
7,12,224
8,12,215
9,19,254
0,19,171
1,21,164
2,18,180
3,22,188
4,15,181
5,12,206
6,20,207
7,14,205
8,16,240
9,13,208
0,23,171
1,18,143
2,21,167
3,23,182
4,21,186
5,14,143
6,19,185
7,15,206
8,20,175
9,20,181
0,19,146
1,26,160
2,22,178
3,18,170
4,20,170
5,15,181
6,20,194
7,21,190
8,18,169
9,19,210
0,25,155
1,22,170
2,17,161
3,18,173
4,20,210
5,19,183
6,19,184
7,24,199
8,15,192
9,18,212
0,22,177
1,17,145
2,19,195
3,20,210
4,20,218
5,18,216
6,16,190
7,15,204
8,12,204
9,14,225
0,20,145
1,19,167
2,16,165
3,21,213
4,21,207
5,21,214
6,17,220
7,17,224
8,15,238
9,17,224
