0,4.1
1,3.8
2,4.11
3,4.43
4,3.89
5,4.44
6,5.26
7,4.24
8,4.2
9,4.22
0,3.67
1,3.5
2,4.02
3,4.23
4,3.92
5,3.48
6,3.89
7,3.43
8,4.8
9,4.82
0,4.74
1,3.57
2,4.25
3,5.02
4,4.01
5,4.35
6,5.57
7,3.98
8,4.24
9,4.84
0,3.49
1,3.35
2,3.48
3,3.41
4,3.71
5,3.29
6,3.26
7,3.69
8,3.62
9,3.5
0,3.61
1,3.6
2,4.14
3,3.72
4,3.82
5,3.46
6,3.46
7,3.93
8,3.8
9,3.44
0,3.72
1,3.39
2,3.3
3,3.66
4,3.24
5,3.95
6,4.15
7,3.7
8,4.06
9,3.68
0,4.02
1,3.37
2,4.32
3,3.77
4,3.66
5,3.89
6,4.46
7,4.41
8,4.06
9,4.42
0,3.64
1,3.77
2,3.54
3,3.86
4,4.58
5,3.95
6,3.93
7,5.63
8,3.81
9,3.74
0,3.92
1,4.46
2,4.31
3,4.39
4,5.44
5,4.06
6,3.86
7,5.76
8,4.99
9,6.25
0,4.28
1,4.27
2,4.82
3,4.66
4,4.03
5,3.98
6,4.19
7,4.04
8,3.72
9,4.31
0,4.48
1,3.59
2,3.69
3,3.72
4,3.75
5,3.46
6,3.36
7,3.47
8,3.04
9,3.88
0,3.79
1,4.13
2,2.73
3,3.47
4,3.91
5,4.0
6,3.22
7,3.65
8,3.83
9,3.62
0,4.15
1,3.33
2,3.26
3,3.45
4,3.52
5,3.42
6,3.75
7,3.46
8,3.39
9,3.5
0,3.35
1,3.3
2,3.36
3,4.12
4,5.83
5,4.76
6,3.82
7,4.08
8,4.08
9,4.05
0,3.69
1,4.01
2,3.93
3,4.21
4,3.61
5,4.24
6,4.11
7,4.1
8,3.89
9,3.73
0,4.43
1,3.55
2,3.6
3,3.61
4,3.3
5,3.92
6,3.89
7,3.71
8,3.96
9,4.11
0,3.58
1,3.37
2,3.02
3,3.21
4,4.28
5,3.68
6,3.9
7,3.57
8,4.16
9,4.44
0,2.96
1,3.07
2,3.75
3,3.53
4,3.34
5,3.48
6,3.51
7,3.28
8,3.5
9,3.7
0,3.83
1,3.38
2,3.29
3,3.55
4,3.59
5,3.67
6,4.05
7,4.01
8,3.35
9,3.7
0,3.53
1,2.86
2,3.06
3,3.3
4,3.43
5,4.05
6,6.14
7,3.83
8,4.06
9,3.66
0,2.95
1,3.12
2,2.93
3,3.83
4,5.43
5,5.0
6,6.78
7,4.17
8,4.02
9,3.91
0,3.07
1,4.16
2,3.29
3,3.33
4,3.71
5,3.41
6,2.95
7,3.76
8,3.61
9,4.25
0,3.28
1,3.16
2,3.25
3,3.17
4,3.02
5,3.64
6,3.58
7,3.41
8,4.81
9,4.15
0,3.45
1,2.56
2,2.86
3,3.14
4,3.13
5,2.48
6,3.13
7,3.46
8,3.0
9,3.11
0,2.91
1,3.1
2,3.1
3,2.95
4,2.9
5,3.21
6,3.82
7,4.39
8,2.92
9,3.54
0,2.8
1,2.89
2,2.74
3,2.91
4,3.54
5,3.08
6,3.11
7,3.34
8,3.3
9,3.53
0,3.79
1,3.18
2,3.35
3,3.49
4,4.42
5,3.83
6,3.22
7,3.47
8,4.08
9,4.37
0,3.01
1,3.04
2,3.48
3,3.93
4,5.48
5,5.92
6,4.66
7,4.19
8,4.07
9,3.69
